order_id,customer_id,timestamp,order_amount,item_count,distinct_categories,high_resale_ratio,wardrobing_flag,discount_percentage,account_age_days,historical_orders,historical_return_rate,historical_chargebacks,delivery_address_changes_30d,billing_shipping_mismatch,ip_distance_to_billing_km,device_trust_score,checkout_duration_sec,payment_velocity_24h,card_is_prepaid,card_country_mismatch,margin_amount,loss_amount,is_return_abuse,is_chargeback,is_risk_target
ORD-108007,CUST-01342,2026-06-01 00:06:29,82.36,2,2,0.443,1,0.0,354.2,17,0.103,0,0,0,37.7,0.986,45.6,1,0,0,28.83,0.0,0,0,0
ORD-103297,CUST-06711,2026-06-01 00:17:34,663.59,6,2,0.02,0,0.2,262.3,9,0.064,0,2,0,78.4,0.973,75.1,3,0,0,232.26,0.0,0,0,0
ORD-114765,CUST-04502,2026-06-01 00:18:33,19.13,1,1,0.155,0,0.5,652.7,32,0.2,0,0,0,26.4,0.688,51.1,1,0,0,6.7,0.0,0,0,0
ORD-108274,CUST-03351,2026-06-01 00:25:14,269.84,7,1,0.388,0,0.15,223.3,10,0.245,0,0,0,59.2,0.809,12.8,1,0,0,94.44,0.0,0,0,0
ORD-109126,CUST-05169,2026-06-01 00:27:35,24.43,1,1,0.161,0,0.15,817.0,31,0.011,0,0,0,59.7,0.823,57.7,3,0,0,8.55,0.0,0,0,0
ORD-112637,CUST-06682,2026-06-01 00:31:09,147.59,1,1,0.007,0,0.1,321.0,10,0.129,0,1,0,16.9,0.714,25.4,1,0,0,51.66,0.0,0,0,0
ORD-109457,CUST-06846,2026-06-01 00:31:14,57.82,3,3,0.175,0,0.1,120.6,8,0.079,0,0,0,173.1,0.904,69.9,1,0,0,20.24,0.0,0,0,0
ORD-109024,CUST-01512,2026-06-01 00:33:02,55.91,1,1,0.036,0,0.1,92.2,1,0.123,0,0,0,7.9,0.621,34.9,1,0,0,19.57,0.0,0,0,0
ORD-101864,CUST-04411,2026-06-01 00:48:14,174.5,2,2,0.036,0,0.0,197.9,7,0.083,0,0,0,3.9,0.971,17.8,1,0,0,61.08,0.0,0,0,0
ORD-114704,CUST-06099,2026-06-01 00:53:23,72.26,1,1,0.057,0,0.0,214.1,7,0.04,0,0,0,92.9,0.699,78.4,1,0,0,25.29,0.0,0,0,0
ORD-101873,CUST-04059,2026-06-01 00:57:12,102.54,2,1,0.314,0,0.1,177.2,9,0.027,0,0,0,0.7,0.567,114.0,1,0,0,35.89,0.0,0,0,0
ORD-105108,CUST-05427,2026-06-01 01:04:03,177.09,1,1,0.002,0,0.0,27.2,1,0.175,0,0,0,13.5,0.679,20.8,1,0,0,61.98,0.0,0,0,0
